"id","name","cuisine","location","capacity","price_tier","rating","coords__lat","coords__lon","description"
"1","Hebbal Thai Place 1","Thai","Hebbal","6","budget","3.4","12.922277308054808","77.57884175544925","Thai cuisine at Hebbal seating 6."
"2","Brigade Road Italian Place 2","Italian","Brigade Road","8","mid","4.4","12.942917962351293","77.62395474870979","Italian cuisine at Brigade Road seating 8."
"3","Indiranagar Thai Place 3","Thai","Indiranagar","8","mid","3.6","12.96057999000681","77.60745797526636","Thai cuisine at Indiranagar seating 8."
"4","Bannerghatta French Place 4","French","Bannerghatta","8","mid","3.4","12.9716837412162","77.61865738058613","French cuisine at Bannerghatta seating 8."
"5","Koramangala Japanese Place 5","Japanese","Koramangala","30","budget","4.1","13.011978318111538","77.55484567879573","Japanese cuisine at Koramangala seating 30."
"6","Whitefield Chinese Place 6","Chinese","Whitefield","6","budget","4.7","12.965053121965395","77.55196317765483","Chinese cuisine at Whitefield seating 6."
"7","Rajajinagar French Place 7","French","Rajajinagar","10","budget","3.4","12.96474680591383","77.56666104520241","French cuisine at Rajajinagar seating 10."
"8","Koramangala Japanese Place 8","Japanese","Koramangala","6","budget","4.3","12.961062786740074","77.59933499629524","Japanese cuisine at Koramangala seating 6."
"9","Hebbal French Place 9","French","Hebbal","6","premium","4.4","12.951950950022937","77.55441345116328","French cuisine at Hebbal seating 6."
"10","Brigade Road Mexican Place 10","Mexican","Brigade Road","30","premium","4.7","13.018211738743346","77.54876860844482","Mexican cuisine at Brigade Road seating 30."
"11","MG Road Thai Place 11","Thai","MG Road","30","premium","3.3","12.959164074623406","77.62249082508666","Thai cuisine at MG Road seating 30."
"12","Whitefield Indian Place 12","Indian","Whitefield","2","mid","4.1","12.920078609256137","77.57290907856189","Indian cuisine at Whitefield seating 2."
"13","HSR Layout American Place 13","American","HSR Layout","30","premium","4.6","12.92811763741483","77.54569279823572","American cuisine at HSR Layout seating 30."
"14","Hebbal Indian Place 14","Indian","Hebbal","8","premium","3.5","12.975661259831039","77.58563715698303","Indian cuisine at Hebbal seating 8."
"15","Whitefield Vegan Place 15","Vegan","Whitefield","20","mid","4.1","13.01132355193258","77.5426425734791","Vegan cuisine at Whitefield seating 20."
"16","HSR Layout Japanese Place 16","Japanese","HSR Layout","8","mid","4.8","13.007247640455063","77.54414482499232","Japanese cuisine at HSR Layout seating 8."
"17","Whitefield Indian Place 17","Indian","Whitefield","8","premium","3.2","12.92066451763403","77.59392410697548","Indian cuisine at Whitefield seating 8."
"18","Hebbal Japanese Place 18","Japanese","Hebbal","30","mid","3.3","12.991506761169306","77.6124731234809","Japanese cuisine at Hebbal seating 30."
"19","Bannerghatta American Place 19","American","Bannerghatta","2","budget","3.3","13.00236274294628","77.61598007533436","American cuisine at Bannerghatta seating 2."
"20","Koramangala Mediterranean Place 20","Mediterranean","Koramangala","2","premium","4.5","12.993526702271415","77.5927692318508","Mediterranean cuisine at Koramangala seating 2."
"21","Jayanagar Indian Place 21","Indian","Jayanagar","10","budget","4.6","12.975464753074103","77.60265065131325","Indian cuisine at Jayanagar seating 10."
"22","Rajajinagar Italian Place 22","Italian","Rajajinagar","30","mid","4.0","12.988908192534115","77.6189758061591","Italian cuisine at Rajajinagar seating 30."
"23","Jayanagar Indian Place 23","Indian","Jayanagar","4","budget","4.7","12.920953932350075","77.62022808205975","Indian cuisine at Jayanagar seating 4."
"24","Whitefield Mediterranean Place 24","Mediterranean","Whitefield","2","mid","4.1","13.015661490785805","77.63291547197386","Mediterranean cuisine at Whitefield seating 2."
"25","Koramangala Vegan Place 25","Vegan","Koramangala","30","premium","4.0","12.9755975344717","77.57922457942787","Vegan cuisine at Koramangala seating 30."
"26","HSR Layout Vegan Place 26","Vegan","HSR Layout","8","mid","4.3","12.982465559516644","77.58040601245719","Vegan cuisine at HSR Layout seating 8."
"27","Indiranagar Mediterranean Place 27","Mediterranean","Indiranagar","20","budget","3.3","12.949206908447728","77.56473707779183","Mediterranean cuisine at Indiranagar seating 20."
"28","Whitefield Vegan Place 28","Vegan","Whitefield","8","mid","3.5","12.98377820651958","77.62448942804814","Vegan cuisine at Whitefield seating 8."
"29","Brigade Road Italian Place 29","Italian","Brigade Road","4","budget","3.4","12.967120090538534","77.57175028889657","Italian cuisine at Brigade Road seating 4."
"30","Hebbal Vegan Place 30","Vegan","Hebbal","2","premium","4.1","12.97119451891277","77.59740308651745","Vegan cuisine at Hebbal seating 2."
"31","Rajajinagar Thai Place 31","Thai","Rajajinagar","2","premium","3.7","12.933178781811407","77.63291538759643","Thai cuisine at Rajajinagar seating 2."
"32","Koramangala Mexican Place 32","Mexican","Koramangala","2","premium","3.9","13.010144108926548","77.62495009534568","Mexican cuisine at Koramangala seating 2."
"33","Rajajinagar Japanese Place 33","Japanese","Rajajinagar","6","budget","4.7","12.96938780902872","77.55604973922127","Japanese cuisine at Rajajinagar seating 6."
"34","Rajajinagar Indian Place 34","Indian","Rajajinagar","10","premium","3.7","12.92460722343647","77.60976067111754","Indian cuisine at Rajajinagar seating 10."
"35","Koramangala American Place 35","American","Koramangala","10","budget","4.7","13.00075710117979","77.59663680900883","American cuisine at Koramangala seating 10."
"36","Brigade Road Mediterranean Place 36","Mediterranean","Brigade Road","8","premium","3.4","12.987192111749346","77.59837890692792","Mediterranean cuisine at Brigade Road seating 8."
"37","Jayanagar Italian Place 37","Italian","Jayanagar","10","mid","4.8","12.989819683019174","77.56159635631425","Italian cuisine at Jayanagar seating 10."
"38","Brigade Road French Place 38","French","Brigade Road","12","premium","4.5","12.928535121832143","77.57743146642242","French cuisine at Brigade Road seating 12."
"39","HSR Layout Chinese Place 39","Chinese","HSR Layout","2","mid","3.4","12.981566309128633","77.60551259217786","Chinese cuisine at HSR Layout seating 2."
"40","MG Road Mexican Place 40","Mexican","MG Road","4","premium","4.3","12.920402399030166","77.54399123693031","Mexican cuisine at MG Road seating 4."
"41","Koramangala Indian Place 41","Indian","Koramangala","4","premium","3.2","12.9787220560039","77.61946966719978","Indian cuisine at Koramangala seating 4."
"42","Jayanagar Indian Place 42","Indian","Jayanagar","6","budget","3.7","12.955987387111309","77.56014369273795","Indian cuisine at Jayanagar seating 6."
"43","Jayanagar Thai Place 43","Thai","Jayanagar","6","premium","3.4","12.952557112978301","77.61895949371069","Thai cuisine at Jayanagar seating 6."
"44","Jayanagar Vegan Place 44","Vegan","Jayanagar","30","mid","4.2","12.976552359032429","77.61438695963491","Vegan cuisine at Jayanagar seating 30."
"45","Indiranagar American Place 45","American","Indiranagar","12","premium","3.5","12.997867538465721","77.61890939446567","American cuisine at Indiranagar seating 12."
"46","MG Road Italian Place 46","Italian","MG Road","6","mid","4.2","12.978268722914988","77.54240963292827","Italian cuisine at MG Road seating 6."
"47","HSR Layout Chinese Place 47","Chinese","HSR Layout","20","mid","4.9","12.98466767189648","77.54553639463697","Chinese cuisine at HSR Layout seating 20."
"48","Rajajinagar Mediterranean Place 48","Mediterranean","Rajajinagar","2","mid","4.9","12.93517975057008","77.57341318953937","Mediterranean cuisine at Rajajinagar seating 2."
"49","Indiranagar Mediterranean Place 49","Mediterranean","Indiranagar","6","premium","4.1","12.969539353702325","77.59378818896798","Mediterranean cuisine at Indiranagar seating 6."
"50","Brigade Road Thai Place 50","Thai","Brigade Road","2","mid","3.7","13.01820609520983","77.57097662966292","Thai cuisine at Brigade Road seating 2."
"51","Hebbal Japanese Place 51","Japanese","Hebbal","2","premium","4.5","12.934960482120976","77.61421322560135","Japanese cuisine at Hebbal seating 2."
"52","Rajajinagar Mediterranean Place 52","Mediterranean","Rajajinagar","2","budget","4.7","12.962692944958754","77.63108578807541","Mediterranean cuisine at Rajajinagar seating 2."
"53","Whitefield American Place 53","American","Whitefield","2","mid","4.1","12.980099619318306","77.56391601131179","American cuisine at Whitefield seating 2."
"54","Jayanagar Italian Place 54","Italian","Jayanagar","12","mid","3.4","12.951335232274705","77.56956522675915","Italian cuisine at Jayanagar seating 12."
"55","Koramangala Italian Place 55","Italian","Koramangala","8","premium","4.0","12.983233785882714","77.56989873575449","Italian cuisine at Koramangala seating 8."
"56","Bannerghatta Mediterranean Place 56","Mediterranean","Bannerghatta","2","budget","4.2","12.964616057712078","77.55765396353888","Mediterranean cuisine at Bannerghatta seating 2."
"57","Hebbal Chinese Place 57","Chinese","Hebbal","20","premium","3.8","12.967867647008442","77.6103363508189","Chinese cuisine at Hebbal seating 20."
"58","Whitefield Italian Place 58","Italian","Whitefield","4","mid","4.0","12.996847546954044","77.59465845790135","Italian cuisine at Whitefield seating 4."
"59","Whitefield Thai Place 59","Thai","Whitefield","2","budget","4.9","13.006431046834468","77.56307489606061","Thai cuisine at Whitefield seating 2."
"60","Brigade Road Chinese Place 60","Chinese","Brigade Road","12","budget","3.6","13.009831234912786","77.63461553012843","Chinese cuisine at Brigade Road seating 12."
"61","Jayanagar French Place 61","French","Jayanagar","4","budget","4.6","13.008056949458613","77.60016590585137","French cuisine at Jayanagar seating 4."
"62","Jayanagar Chinese Place 62","Chinese","Jayanagar","12","premium","4.3","12.92137640206268","77.62672608785353","Chinese cuisine at Jayanagar seating 12."
"63","Hebbal Chinese Place 63","Chinese","Hebbal","12","budget","4.4","12.934599540563335","77.62661798100252","Chinese cuisine at Hebbal seating 12."
"64","HSR Layout Vegan Place 64","Vegan","HSR Layout","6","mid","3.4","12.966808557305841","77.57983121081233","Vegan cuisine at HSR Layout seating 6."
